order_id,order_date,region,state,city,category,sub_category,product_name,units,unit_price,discount_pct,sales,profit
1000,2022-08-17,West,Gujarat,Ahmedabad,Furniture,Sofas,Recliner Sofa,6,41698.0,0,250188.0,17900.93
1001,2023-04-22,South,Kerala,Kochi,Clothing,Menswear,Sherwani,5,3155.2,15,15776.0,1797.05
1002,2023-11-21,East,West Bengal,Howrah,Office Supplies,Ink & Toner,Canon Toner,1,2195.0,0,2195.0,388.45
1003,2022-05-23,North,Haryana,Gurugram,Furniture,Sofas,L-Shaped Sofa,3,37961.0,15,113883.0,14999.79
1004,2022-05-27,North,Rajasthan,Udaipur,Furniture,Tables,Coffee Table,4,40448.7,10,161794.8,33566.16
1005,2022-04-25,South,Karnataka,Mysuru,Office Supplies,Stationery,A4 Paper Ream,5,8710.4,20,43552.0,11039.44
1006,2024-07-28,North,Uttar Pradesh,Varanasi,Clothing,Footwear,Formal Shoes,3,4292.0,0,12876.0,2882.03
1007,2022-08-13,North,Punjab,Amritsar,Electronics,Televisions,"LG 55"" UHD",5,69348.0,0,346740.0,39958.21
1008,2022-08-23,West,Goa,Panaji,Office Supplies,Printers,HP Inkjet Printer,4,5845.7,30,23382.8,6077.29
1009,2024-11-05,North,Haryana,Gurugram,Electronics,Accessories,Power Bank,1,22662.0,0,22662.0,1217.45
1010,2022-06-11,East,West Bengal,Siliguri,Furniture,Tables,Office Desk,4,18333.0,10,73332.0,19333.99
1011,2024-02-04,East,West Bengal,Kolkata,Furniture,Sofas,L-Shaped Sofa,1,41564.0,0,41564.0,8844.96
1012,2022-05-01,South,Karnataka,Bengaluru,Furniture,Chairs,Wooden Dining Chair,4,23003.4,40,92013.6,14603.88
1013,2023-01-25,East,Bihar,Gaya,Clothing,Womenswear,Kurti,6,3029.0,0,18174.0,1948.09
1014,2022-10-15,West,Madhya Pradesh,Indore,Electronics,Televisions,"Samsung 50"" Crystal",1,13167.0,10,13167.0,569.91
1015,2024-09-21,East,West Bengal,Kolkata,Clothing,Menswear,Sherwani,3,3601.5,25,10804.5,924.9
1016,2023-08-31,South,Kerala,Kozhikode,Electronics,Accessories,Wireless Earbuds,1,70493.0,0,70493.0,10891.81
1017,2022-05-21,North,Punjab,Chandigarh,Furniture,Sofas,Recliner Sofa,1,35063.35,15,35063.35,9291.17
1018,2023-10-06,East,Odisha,Cuttack,Clothing,Womenswear,Kurti,1,1069.0,0,1069.0,185.64
1019,2024-11-02,West,Maharashtra,Pune,Office Supplies,Printers,HP Inkjet Printer,4,10864.0,0,43456.0,8848.01
1020,2022-10-03,South,Kerala,Kochi,Office Supplies,Printers,HP Inkjet Printer,6,7989.1,30,47934.6,7782.77
1021,2022-04-15,East,Bihar,Patna,Electronics,Accessories,Smart Watch,6,33868.0,20,203208.0,20021.47
1022,2022-08-18,North,Rajasthan,Jaipur,Office Supplies,Ink & Toner,HP Ink Cartridge,4,5200.0,0,20800.0,5340.46
1023,2022-07-30,East,Odisha,Bhubaneswar,Furniture,Tables,Coffee Table,1,22293.0,10,22293.0,1930.92
1024,2022-08-10,South,Tamil Nadu,Chennai,Furniture,Storage,Bookshelf,3,14087.2,20,42261.6,5303.84
1025,2023-07-26,East,Bihar,Patna,Electronics,Accessories,Smart Watch,5,36375.75,15,181878.75,22188.54
1026,2023-10-05,South,Tamil Nadu,Madurai,Furniture,Chairs,Ergonomic Office Chair,6,2799.0,10,16794.0,2246.55
1027,2023-11-08,South,Karnataka,Hubballi,Office Supplies,Ink & Toner,Canon Toner,3,8309.7,10,24929.1,3657.17
1028,2022-12-23,West,Madhya Pradesh,Indore,Office Supplies,Printers,HP Inkjet Printer,4,6649.2,10,26596.8,4456.83
1029,2022-12-14,West,Goa,Panaji,Furniture,Chairs,Ergonomic Office Chair,2,3450.0,25,6900.0,1315.09
1030,2022-05-30,North,Punjab,Ludhiana,Clothing,Menswear,Jeans,6,1939.9,5,11639.4,2734.62
1031,2024-11-26,North,Delhi,Dwarka,Furniture,Storage,TV Unit,5,25603.2,20,128016.0,30855.81
1032,2024-08-30,North,Haryana,Faridabad,Furniture,Chairs,Gaming Chair,1,15611.95,15,15611.95,3987.23
1033,2022-06-15,North,Punjab,Amritsar,Furniture,Tables,Dining Table 6-Seater,4,19747.2,20,78988.8,5080.65
1034,2024-05-10,South,Kerala,Thiruvananthapuram,Clothing,Menswear,Casual T-Shirt,3,2833.8,40,8501.4,2180.58
1035,2024-09-26,East,Assam,Guwahati,Clothing,Womenswear,Ethnic Set,6,4625.0,0,27750.0,7175.97
1036,2022-02-25,East,Odisha,Cuttack,Furniture,Sofas,L-Shaped Sofa,4,14340.35,15,57361.4,12911.07
1037,2024-02-16,East,Bihar,Patna,Clothing,Menswear,Formal Shirt,3,579.0,0,1737.0,466.23
1038,2022-11-09,East,West Bengal,Siliguri,Furniture,Storage,TV Unit,3,13296.2,5,39888.6,10845.14
1039,2022-08-10,West,Madhya Pradesh,Bhopal,Furniture,Sofas,Recliner Sofa,6,5806.8,40,34840.8,8197.04
1040,2022-03-26,East,Bihar,Patna,Office Supplies,Stationery,Gel Pen Pack,4,5779.8,5,23119.2,3471.63
1041,2023-07-08,East,Assam,Dibrugarh,Office Supplies,Printers,HP Inkjet Printer,1,2487.0,40,2487.0,473.47
1042,2024-02-16,East,Bihar,Patna,Clothing,Menswear,Casual T-Shirt,3,1759.1,30,5277.3,276.19
1043,2023-01-27,East,Assam,Guwahati,Clothing,Footwear,Sandals,4,2394.0,10,9576.0,1369.49
1044,2023-05-14,West,Madhya Pradesh,Bhopal,Clothing,Footwear,Sandals,3,2484.9,10,7454.7,768.01
1045,2023-01-30,North,Uttar Pradesh,Kanpur,Clothing,Womenswear,Dress,1,3045.7,5,3045.7,364.03
1046,2024-12-29,South,Andhra Pradesh,Guntur,Furniture,Storage,Wardrobe 4-Door,1,28697.7,15,28697.7,2651.77
1047,2022-04-16,East,West Bengal,Kolkata,Clothing,Womenswear,Kurti,5,4374.0,10,21870.0,1521.97
1048,2023-05-24,East,Odisha,Cuttack,Clothing,Womenswear,Dress,5,445.8,40,2229.0,603.67
1049,2022-11-18,South,Telangana,Hyderabad,Clothing,Womenswear,Ethnic Set,3,1924.5,25,5773.5,383.19
1050,2023-02-10,North,Uttar Pradesh,Varanasi,Furniture,Sofas,3-Seater Fabric Sofa,2,31497.0,25,62994.0,4951.41
1051,2023-09-15,West,Madhya Pradesh,Bhopal,Electronics,Mobile Phones,OnePlus 12R,6,50247.0,0,301482.0,15691.96
1052,2023-07-06,North,Punjab,Amritsar,Clothing,Womenswear,Saree,5,747.75,25,3738.75,486.15
1053,2023-11-14,South,Telangana,Warangal,Clothing,Footwear,Formal Shoes,3,3975.0,0,11925.0,1458.89
1054,2023-10-25,East,West Bengal,Siliguri,Clothing,Womenswear,Kurti,2,3871.0,0,7742.0,749.57
1055,2024-09-19,North,Uttar Pradesh,Varanasi,Electronics,Televisions,"Sony Bravia 43""",2,17153.25,25,34306.5,5165.58
1056,2023-08-21,West,Madhya Pradesh,Bhopal,Clothing,Menswear,Sherwani,5,4192.35,5,20961.75,5213.74
1057,2024-04-29,West,Maharashtra,Nagpur,Office Supplies,Ink & Toner,Canon Toner,2,6872.25,15,13744.5,2431.97
1058,2024-02-12,West,Gujarat,Vadodara,Furniture,Storage,Wardrobe 4-Door,4,19081.6,20,76326.4,21168.0
1059,2022-11-08,South,Telangana,Karimnagar,Office Supplies,Stationery,Gel Pen Pack,1,9588.8,20,9588.8,2400.22
1060,2022-11-13,West,Goa,Margao,Electronics,Accessories,Power Bank,3,64760.4,10,194281.2,21052.8
1061,2022-07-05,South,Andhra Pradesh,Tirupati,Furniture,Chairs,Ergonomic Office Chair,1,5675.45,15,5675.45,845.97
1062,2023-05-16,North,Uttar Pradesh,Kanpur,Electronics,Televisions,"Samsung 50"" Crystal",6,35609.4,10,213656.4,18067.0
1063,2023-06-05,South,Tamil Nadu,Coimbatore,Furniture,Sofas,L-Shaped Sofa,3,33654.75,25,100964.25,24677.67
1064,2024-09-16,East,Bihar,Gaya,Office Supplies,Stationery,Notebook Bundle,4,5653.2,40,22612.8,5006.24
1065,2023-04-17,West,Gujarat,Vadodara,Furniture,Chairs,Wooden Dining Chair,6,39754.8,10,238528.8,55190.89
1066,2022-03-10,North,Delhi,Dwarka,Office Supplies,Ink & Toner,Canon Toner,2,6290.9,30,12581.8,2081.19
1067,2023-08-28,West,Maharashtra,Nashik,Electronics,Laptops,HP Pavilion,6,48071.2,20,288427.2,6330.58
1068,2022-09-11,West,Madhya Pradesh,Bhopal,Electronics,Laptops,Asus Vivobook,1,38244.0,25,38244.0,5633.89
1069,2023-09-11,South,Telangana,Hyderabad,Electronics,Accessories,Power Bank,1,16591.2,20,16591.2,1385.53
1070,2024-05-08,North,Punjab,Amritsar,Electronics,Televisions,"Samsung 50"" Crystal",4,40199.4,10,160797.6,13197.24
1071,2024-01-05,West,Gujarat,Ahmedabad,Clothing,Menswear,Jeans,6,2132.75,5,12796.5,2956.06
1072,2023-02-25,North,Rajasthan,Jaipur,Furniture,Chairs,Ergonomic Office Chair,5,14819.7,30,74098.5,7976.74
1073,2022-12-24,South,Telangana,Hyderabad,Office Supplies,Stationery,Notebook Bundle,3,4272.15,5,12816.45,2827.25
1074,2024-12-13,South,Tamil Nadu,Coimbatore,Office Supplies,Ink & Toner,HP Ink Cartridge,4,7158.9,30,28635.6,3418.37
1075,2022-03-05,East,Assam,Dibrugarh,Electronics,Televisions,"Samsung 50"" Crystal",4,17632.0,0,70528.0,2656.57
1076,2023-10-28,West,Madhya Pradesh,Bhopal,Electronics,Mobile Phones,Redmi Note 13,4,50389.5,25,201558.0,15282.58
1077,2022-07-14,West,Goa,Margao,Furniture,Storage,Wardrobe 4-Door,1,7742.65,15,7742.65,1832.74
1078,2022-05-03,West,Maharashtra,Nashik,Office Supplies,Ink & Toner,Canon Toner,6,8488.95,15,50933.7,3760.34
